Дата передачи материалов,Дата выпуска продукции,курс,№ ЗП,Продукт,Вес готового продукта,Израсходовано по факту,"Израсходовано по факту Polyether Polyol Puranol, Пропиленгликоль","Потери, кг",% потерь,"СС 1С на дату выпуска, EUR",% пропиленгликоля в составе,"СС КГ, РУБ, Б/НДС","СС Факт , EUR, Б/НДС","СС Партии, EUR, Б/НДС","СС Партии, РУБ, Б/НДС",,Примечание
26.09.24,27.09.2024,"103,1931",692,Клей Starkbond 2014 бочка 225кг,900,926,367,26,"2,89","3,2","40,78","202,30 ₽","1,96€","1 764,32€","182 065,65 ₽",,
27.09.24,30.09.2024,"103,4694",702,"отвердитель Starkbond 746/1 С  бочка 180 кг, ведро 20 кг",200,200,0,0,"0,00","2,65","0,00","274,19 ₽","2,65€","530,00€","54 838,78 ₽",,перелив
27.09.24,30.09.2024,"103,4694",694,клей Starkbond 521 A бочка 220кг,6600,6624,3015,24,"0,36","3,97","45,68","267,08 ₽","2,58€","17 036,40€","1 762 746,09 ₽",,
27.09.24,30.09.2024,"103,4694",696,клей Starkbond 521 A бочка 220кг,6600,6610,3015,10,"0,15","3,97","45,68","267,08 ₽","2,58€","17 036,40€","1 762 746,09 ₽",,
27.09.24,30.09.2024,"103,4694",699,клей Starkbond 521 A бочка 220кг,6600,6625,3015,25,"0,38","3,97","45,68","267,08 ₽","2,58€","17 036,40€","1 762 746,09 ₽",,
30.09.24,30.09.2024,"103,4694",695,Клей Starkbond 2014 бочка 225кг,900,"930,5",370,"30,5","3,39","3,26","41,11","208,00 ₽","2,01€","1 809,20€","187 196,84 ₽",,
30.09.24,03.10.2024,"104,4481",697,Клей Starkbond 745/41 А (бочка 200 кг),1000,1030,216,30,"3,00","3,18","21,60","263,56 ₽","2,52€","2 523,36€","263 560,16 ₽",,
30..09.24,03.10.2024,"104,4481",698,Клей Starkbond 745/41 А (бочка 200 кг),1000,1027,216,27,"2,70","3,18","21,60","263,56 ₽","2,52€","2 523,36€","263 560,16 ₽",,
30.09.24,04.10.2024,"104,8664",700,Клей Starkbond 745/41 А (бочка 200 кг),1000,1025,216,25,"2,50","3,17","21,60","263,57 ₽","2,51€","2 513,36€","263 567,02 ₽",,
30.09.24,02.10.2024,"103,6502",701,клей Starkbond 745/3 А  бочка 200кг,1000,1023,110,23,"2,30","2,75","11,00","250,38 ₽","2,42€","2 415,60€","250 377,42 ₽",,
